Condition,CFU,logCFU,Date,Rep
daf16,43400,4.637,2019-07-29,2
daf16,14600,4.164,2019-07-29,2
daf16,22400,4.350,2019-07-29,2
daf16,34000,4.531,2019-07-29,2
daf16,17400,4.241,2019-07-29,2
daf16,20400,4.310,2019-07-29,2
daf16,19400,4.288,2019-07-29,2
daf16,14400,4.158,2019-07-29,2
daf16,24500,4.389,2019-07-29,2
daf16,28600,4.456,2019-07-29,2
daf16,17800,4.250,2019-07-29,2
daf16,26600,4.425,2019-07-29,2
daf16,7000,3.845,2019-07-29,2
daf16,19000,4.279,2019-07-29,2
daf16,23000,4.362,2019-07-29,2
daf16,59240,4.773,2019-07-29,2
daf16,16800,4.225,2019-07-29,2
daf16,25600,4.408,2019-07-29,2
daf16,36400,4.561,2019-07-29,2
daf16,9400,3.973,2019-07-29,2
daf16,21000,4.322,2019-07-29,2
daf16,20200,4.305,2019-07-29,2
daf16,29600,4.471,2019-07-29,2
daf16,63600,4.803,2019-08-16,3
daf16,21020,4.323,2019-08-16,3
daf16,65400,4.816,2019-08-16,3
daf16,1380,3.140,2019-08-16,3
daf16,11840,4.073,2019-08-16,3
daf16,44600,4.649,2019-08-16,3
daf16,2640,3.422,2019-08-16,3
daf16,3180,3.502,2019-08-16,3
daf16,61400,4.788,2019-08-16,3
daf16,2220,3.346,2019-08-16,3
daf16,28200,4.450,2019-08-16,3
daf16,79000,4.898,2019-08-16,3
daf16,106600,5.028,2019-08-16,3
daf16,38200,4.582,2019-08-16,3
daf16,75000,4.875,2019-08-16,3
daf16,72400,4.860,2019-08-16,3
daf16,82600,4.917,2019-08-16,3
daf16,25600,4.408,2019-08-16,3
daf16,29800,4.474,2019-08-16,3
daf16,96000,4.982,2019-08-16,3
daf16,17200,4.236,2019-08-16,3
daf16,51800,4.714,2019-08-16,3
daf16,66200,4.821,2019-08-16,3
daf16,78800,4.897,2019-08-16,3
daf2,1080,3.033,2019-04-03,1
daf2,1260,3.100,2019-04-03,1
daf2,1500,3.176,2019-04-03,1
daf2,1800,3.255,2019-04-03,1
daf2,1960,3.292,2019-04-03,1
daf2,2060,3.314,2019-04-03,1
daf2,2180,3.338,2019-04-03,1
daf2,5060,3.704,2019-04-03,1
daf2,8820,3.945,2019-04-03,1
daf2,2000,3.301,2019-05-10,2
daf2,308,2.489,2019-05-10,2
daf2,606,2.782,2019-05-10,2
daf2,154,2.188,2019-05-10,2
daf2,292,2.465,2019-05-10,2
daf2,6120,3.787,2019-05-10,2
daf2,2560,3.408,2019-05-10,2
daf2,760,2.881,2019-05-10,2
daf2,104,2.017,2019-05-10,2
daf2,1284,3.109,2019-05-10,2
daf2,100,2.000,2019-05-10,2
daf2,1366,3.135,2019-05-10,2
daf2,3800,3.580,2019-05-10,2
daf2,1640,3.215,2019-05-10,2
daf2,122,2.086,2019-05-10,2
daf2,2640,3.422,2019-05-10,2
daf2,190,2.279,2019-05-10,2
daf2,6466,3.811,2019-05-10,2
daf2,316,2.500,2019-05-10,2
daf2,1212,3.084,2019-05-10,2
daf2,700,2.845,2019-05-10,2
daf2,388,2.589,2019-05-10,2
daf2,90,1.954,2019-05-10,2
daf2,620,2.792,2019-05-10,2
daf2,4020,3.604,2019-05-10,2
daf2,12600,4.100,2019-05-10,2
daf2,1520,3.182,2019-05-10,2
daf2,176,2.246,2019-05-10,2
daf2,596,2.775,2019-05-10,2
daf2,128,2.107,2019-05-10,2
daf2,7422,3.871,2019-05-10,2
daf2,158,2.199,2019-05-10,2
daf2,184,2.265,2019-05-10,2
daf2,154,2.188,2019-05-10,2
daf2,158,2.199,2019-05-10,2
daf2,368,2.566,2019-05-10,2
daf2,204,2.310,2019-05-10,2
daf2,580,2.763,2019-05-10,2
daf2,800,2.903,2019-05-10,2
daf2,194,2.288,2019-05-10,2
daf2,402,2.604,2019-05-10,2
daf2,890,2.949,2019-05-10,2
daf2,2080,3.318,2019-05-10,2
daf2,442,2.645,2019-09-11,3
daf2,246,2.391,2019-09-11,3
daf2,2120,3.326,2019-09-11,3
daf2,228,2.358,2019-09-11,3
daf2,162,2.210,2019-09-11,3
daf2,686,2.836,2019-09-11,3
daf2,820,2.914,2019-09-11,3
daf2,3666,3.564,2019-09-11,3
daf2,760,2.881,2019-09-11,3
daf2,1540,3.188,2019-09-11,3
daf2,524,2.719,2019-09-11,3
daf2,2360,3.373,2019-09-11,3
daf2,760,2.881,2019-09-11,3
daf2,1370,3.137,2019-09-11,3
daf2,2006,3.302,2019-09-11,3
daf2,2382,3.377,2019-09-11,3
daf2,1940,3.288,2019-09-11,3
daf2,7260,3.861,2019-09-11,3
daf2,1142,3.058,2019-09-11,3
daf2,1920,3.283,2019-09-11,3
daf2,1642,3.215,2019-09-11,3
daf2,2304,3.362,2019-09-11,3
daf2,1480,3.170,2019-09-11,3
daf2,246,2.391,2021-10-20,4
daf2,2120,3.326,2021-10-20,4
daf2,228,2.358,2021-10-20,4
daf2,162,2.210,2021-10-20,4
daf2,686,2.836,2021-10-20,4
daf2,820,2.914,2021-10-20,4
daf2,3666,3.564,2021-10-20,4
daf2,760,2.881,2021-10-20,4
daf2,1540,3.188,2021-10-20,4
daf2,524,2.719,2021-10-20,4
daf2,2360,3.373,2021-10-20,4
daf2,760,2.881,2021-10-20,4
daf2,1370,3.137,2021-10-20,4
daf2,2006,3.302,2021-10-20,4
daf2,2382,3.377,2021-10-20,4
daf2,1940,3.288,2021-10-20,4
daf2,7260,3.861,2021-10-20,4
daf2,1142,3.058,2021-10-20,4
daf2,1920,3.283,2021-10-20,4
daf2,1642,3.215,2021-10-20,4
daf2,2304,3.362,2021-10-20,4
daf2,1480,3.170,2021-10-20,4
dbl1,5100,3.708,2019-06-26,1
dbl1,2360,3.373,2019-06-26,1
dbl1,960,2.982,2019-06-26,1
dbl1,8960,3.952,2019-06-26,1
dbl1,8100,3.908,2019-06-26,1
dbl1,4440,3.647,2019-06-26,1
dbl1,4800,3.681,2019-06-26,1
dbl1,1780,3.250,2019-06-26,1
dbl1,51200,4.709,2019-06-26,1
dbl1,2120,3.326,2019-06-26,1
dbl1,1140,3.057,2019-06-26,1
dbl1,25860,4.413,2019-06-26,1
dbl1,10400,4.017,2019-06-26,1
dbl1,2060,3.314,2019-06-26,1
dbl1,2200,3.342,2019-06-26,1
dbl1,2860,3.456,2019-06-26,1
dbl1,800,2.903,2019-06-26,1
dbl1,720,2.857,2019-06-26,1
dbl1,3540,3.549,2019-06-26,1
dbl1,5020,3.701,2019-06-26,1
dbl1,540,2.732,2019-06-26,1
dbl1,1220,3.086,2019-06-26,1
dbl1,1460,3.164,2019-06-26,1
dbl1,80060,4.903,2019-06-26,1
dbl1,1540,3.188,2019-06-26,1
dbl1,6660,3.823,2019-06-26,1
dbl1,2280,3.358,2019-06-26,1
dbl1,520,2.716,2019-06-26,1
dbl1,6340,3.802,2019-06-26,1
dbl1,1500,3.176,2019-06-26,1
dbl1,3800,3.580,2019-06-26,1
dbl1,6260,3.797,2019-06-26,1
dbl1,780,2.892,2019-06-26,1
dbl1,13420,4.128,2019-07-12,2
dbl1,2520,3.401,2019-07-12,2
dbl1,9000,3.954,2019-07-12,2
dbl1,53400,4.728,2019-07-12,2
dbl1,17400,4.241,2019-07-12,2
dbl1,10400,4.017,2019-07-12,2
dbl1,4120,3.615,2019-07-12,2
dbl1,3240,3.511,2019-07-12,2
dbl1,4580,3.661,2019-07-12,2
dbl1,16200,4.210,2019-07-12,2
dbl1,22400,4.350,2019-07-12,2
dbl1,11900,4.076,2019-07-12,2
dbl1,15240,4.183,2019-07-12,2
dbl1,5660,3.753,2019-07-12,2
dbl1,2740,3.438,2019-07-12,2
dbl1,5640,3.751,2019-07-12,2
dbl1,6300,3.799,2019-07-12,2
dbl1,18600,4.270,2019-07-12,2
dbl1,9000,3.954,2019-07-12,2
dbl1,10000,4.000,2019-07-12,2
dbl1,7000,3.845,2019-07-12,2
dbl1,4880,3.688,2019-07-12,2
dbl1,59200,4.772,2019-07-12,2
dbl1,80800,4.907,2019-07-12,2
dbl1,2700,3.431,2019-07-12,2
dbl1,8800,3.944,2019-07-12,2
dbl1,1320,3.121,2019-07-12,2
dbl1,14220,4.153,2019-07-12,2
dbl1,7060,3.849,2019-07-12,2
dbl1,11200,4.049,2019-07-12,2
dbl1,4100,3.613,2019-07-12,2
dbl1,17700,4.248,2019-07-12,2
dbl1,3520,3.547,2019-07-12,2
dbl1,31800,4.502,2019-07-12,2
dbl1,4340,3.637,2019-07-12,2
dbl1,5680,3.754,2019-07-12,2
decc1,4400,3.643,2019-01-09,1
decc1,4600,3.663,2019-01-09,1
decc1,11100,4.045,2019-01-09,1
decc1,14200,4.152,2019-01-09,1
decc1,15280,4.184,2019-01-09,1
decc1,21260,4.328,2019-01-09,1
decc1,27400,4.438,2019-01-09,1
decc1,37900,4.579,2019-01-09,1
decc1,27400,4.438,2019-01-23,2
decc1,32340,4.510,2019-01-23,2
decc1,41320,4.616,2019-01-23,2
decc1,55400,4.744,2019-01-23,2
decc1,69200,4.840,2019-01-23,2
decc1,73400,4.866,2019-01-23,2
decc1,78600,4.895,2019-01-23,2
decc1,85060,4.930,2019-01-23,2
decc1,89000,4.949,2019-01-23,2
decc1,1740,3.241,2019-01-30,3
decc1,2000,3.301,2019-01-30,3
decc1,8400,3.924,2019-01-30,3
decc1,10460,4.020,2019-01-30,3
decc1,13200,4.121,2019-01-30,3
decc1,24800,4.394,2019-01-30,3
decc1,64000,4.806,2019-01-30,3
decc1,93400,4.970,2019-01-30,3
decc1,26060,4.416,2019-06-14,4
decc1,29600,4.471,2019-06-14,4
decc1,47880,4.680,2019-06-14,4
decc1,13800,4.140,2019-06-14,4
decc1,121620,5.085,2019-06-14,4
decc1,54200,4.734,2019-06-14,4
decc1,13800,4.140,2019-06-14,4
decc1,213200,5.329,2019-06-14,4
decc1,37720,4.577,2019-06-14,4
decc1,2800,3.447,2019-06-14,4
decc1,3240,3.511,2019-06-14,4
decc1,11440,4.058,2019-06-14,4
decc1,32200,4.508,2019-06-14,4
decc1,12400,4.093,2019-06-14,4
decc1,48000,4.681,2019-06-14,4
decc1,2460,3.391,2019-06-14,4
decc1,5000,3.699,2019-06-14,4
decc1,4200,3.623,2019-06-14,4
decc1,4620,3.665,2019-06-14,4
decc1,16800,4.225,2019-06-14,4
decc1,14800,4.170,2019-06-14,4
decc1,28800,4.459,2019-06-19,5
decc1,64000,4.806,2019-06-19,5
decc1,12200,4.086,2019-06-19,5
decc1,51420,4.711,2019-06-19,5
decc1,39400,4.595,2019-06-19,5
decc1,63800,4.805,2019-06-19,5
decc1,30600,4.486,2019-06-19,5
decc1,45000,4.653,2019-06-19,5
decc1,31000,4.491,2019-06-19,5
decc1,25800,4.412,2019-06-19,5
decc1,92600,4.967,2019-06-19,5
decc1,20000,4.301,2019-06-19,5
decc1,3000,3.477,2019-06-19,5
decc1,12600,4.100,2019-06-19,5
decc1,17700,4.248,2019-06-19,5
decc1,59600,4.775,2019-06-19,5
decc1,38640,4.587,2019-06-19,5
decc1,14200,4.152,2019-06-19,5
decc1,43800,4.641,2019-06-19,5
decc1,71600,4.855,2019-06-19,5
decc1,31420,4.497,2019-06-19,5
decc1,70360,4.847,2019-06-19,5
decc1,27620,4.441,2019-06-19,5
decc1,18800,4.274,2019-06-19,5
decc1,1520,3.182,2019-06-19,5
decc1,32000,4.505,2019-06-19,5
decc1,7340,3.866,2019-06-19,5
decc1,2780,3.444,2019-06-19,5
decc1,26200,4.418,2019-06-19,5
decc1,23000,4.362,2019-06-19,5
decc1,5644,3.752,2019-06-19,5
decc1,64200,4.808,2019-06-19,5
decc1,7080,3.850,2019-06-19,5
decc1,33200,4.521,2019-06-19,5
decc1,7300,3.863,2019-06-19,5
decc1,51800,4.714,2019-06-19,5
decc1,44020,4.644,2019-06-19,5
decc1,110800,5.045,2019-06-19,5
decc1,52460,4.720,2019-06-19,5
decc1,18000,4.255,2019-06-19,5
decc1,4600,3.663,2019-06-19,5
decc1,4360,3.639,2019-06-19,5
decc1,50540,4.704,2019-06-19,5
decc1,22000,4.342,2019-06-19,5
decc1,29800,4.474,2019-06-19,5
decc1,25200,4.401,2019-06-19,5
decc1,4720,3.674,2019-06-19,5
eat14,3040,3.483,2018-01-25,1
eat14,3660,3.563,2018-01-25,1
eat14,31000,4.491,2018-01-25,1
eat14,31800,4.502,2018-01-25,1
eat14,33800,4.529,2018-01-25,1
eat14,37640,4.576,2018-01-25,1
eat14,39400,4.595,2018-01-25,1
eat14,42020,4.623,2018-01-25,1
eat14,43000,4.633,2018-01-25,1
eat14,51800,4.714,2018-01-25,1
eat14,52200,4.718,2018-01-25,1
eat14,65600,4.817,2018-01-25,1
eat14,4830,3.684,2018-10-20,2
eat14,4966,3.696,2018-10-20,2
eat14,5270,3.722,2018-10-20,2
eat14,6540,3.816,2018-10-20,2
eat14,8240,3.916,2018-10-20,2
eat14,10140,4.006,2018-10-20,2
eat14,10496,4.021,2018-10-20,2
eat14,11720,4.069,2018-10-20,2
eat14,13220,4.121,2018-10-20,2
eat14,14340,4.157,2018-10-20,2
eat14,15320,4.185,2018-10-20,2
eat14,41182,4.615,2018-10-20,2
eat14,4300,3.633,2018-10-24,3
eat14,6800,3.833,2018-10-24,3
eat14,7300,3.863,2018-10-24,3
eat14,7740,3.889,2018-10-24,3
eat14,7840,3.894,2018-10-24,3
eat14,8620,3.936,2018-10-24,3
eat14,8682,3.939,2018-10-24,3
eat14,9024,3.955,2018-10-24,3
eat14,9740,3.989,2018-10-24,3
eat14,10320,4.014,2018-10-24,3
eat14,11740,4.070,2018-10-24,3
eat14,16220,4.210,2018-10-24,3
eat14,2760,3.441,2018-10-29,4
eat14,3500,3.544,2018-10-29,4
eat14,3862,3.587,2018-10-29,4
eat14,4340,3.637,2018-10-29,4
eat14,4820,3.683,2018-10-29,4
eat14,10276,4.012,2018-10-29,4
eat14,17460,4.242,2018-10-29,4
eat14,21520,4.333,2018-10-29,4
eat14,21560,4.334,2018-10-29,4
eat14,60700,4.783,2018-10-29,4
eat14,4280,3.631,2018-10-31,5
eat14,4880,3.688,2018-10-31,5
eat14,5584,3.747,2018-10-31,5
eat14,5610,3.749,2018-10-31,5
eat14,5980,3.777,2018-10-31,5
eat14,6220,3.794,2018-10-31,5
eat14,6860,3.836,2018-10-31,5
eat14,8120,3.910,2018-10-31,5
eat14,8560,3.932,2018-10-31,5
eat14,14820,4.171,2018-10-31,5
eat14,23380,4.369,2018-10-31,5
eat14,2280,3.358,2018-11-13,6
eat14,3400,3.531,2018-11-13,6
eat14,4060,3.609,2018-11-13,6
eat14,9020,3.955,2018-11-13,6
eat14,10140,4.006,2018-11-13,6
eat14,14600,4.164,2018-11-13,6
eat14,37660,4.576,2018-11-13,6
eat14,38640,4.587,2018-11-13,6
eat14,40400,4.606,2018-11-13,6
eat14,43640,4.640,2018-11-13,6
eat14,57000,4.756,2018-11-13,6
eat14,75800,4.880,2018-11-13,6
exp1,2520,3.401,2019-01-09,1
exp1,2900,3.462,2019-01-09,1
exp1,3170,3.501,2019-01-09,1
exp1,3724,3.571,2019-01-09,1
exp1,4480,3.651,2019-01-09,1
exp1,5020,3.701,2019-01-09,1
exp1,10020,4.001,2019-01-09,1
exp1,10380,4.016,2019-01-09,1
exp1,10820,4.034,2019-01-09,1
exp1,20040,4.302,2019-01-09,1
exp1,63640,4.804,2019-01-09,1
exp1,67200,4.827,2019-01-09,1
exp1,1360,3.134,2019-11-04,2
exp1,2334,3.368,2019-11-04,2
exp1,10880,4.037,2019-11-04,2
exp1,14400,4.158,2019-11-04,2
exp1,16480,4.217,2019-11-04,2
exp1,22020,4.343,2019-11-04,2
exp1,27460,4.439,2019-11-04,2
exp1,29680,4.472,2019-11-04,2
exp1,30000,4.477,2019-11-04,2
exp1,37840,4.578,2019-11-04,2
exp1,41000,4.613,2019-11-04,2
exp1,44800,4.651,2019-11-04,2
exp1,19200,4.283,2019-06-19,3
exp1,2340,3.369,2019-06-19,3
exp1,2800,3.447,2019-06-19,3
exp1,9340,3.970,2019-06-19,3
exp1,29000,4.462,2019-06-19,3
exp1,6740,3.829,2019-06-19,3
exp1,1740,3.241,2019-06-19,3
exp1,2120,3.326,2019-06-19,3
exp1,7420,3.870,2019-06-19,3
exp1,27800,4.444,2019-06-19,3
exp1,12960,4.113,2019-06-19,3
exp1,14280,4.155,2019-06-19,3
exp1,1380,3.140,2019-06-19,3
exp1,1700,3.230,2019-06-19,3
exp1,2820,3.450,2019-06-19,3
exp1,35400,4.549,2019-06-19,3
exp1,125800,5.100,2019-06-19,3
exp1,3520,3.547,2019-06-19,3
exp1,12400,4.093,2019-06-19,3
exp1,2840,3.453,2019-06-19,3
exp1,2120,3.326,2019-06-19,3
exp1,9000,3.954,2019-06-19,3
exp1,17800,4.250,2019-06-19,3
exp1,23200,4.365,2019-06-19,3
exp1,35600,4.551,2019-06-19,3
exp1,17400,4.241,2019-06-19,3
exp1,8020,3.904,2019-06-19,3
exp1,59400,4.774,2019-06-19,3
exp1,15800,4.199,2019-06-19,3
exp1,21020,4.323,2019-06-19,3
exp1,14620,4.165,2019-06-19,3
exp1,4220,3.625,2019-06-19,3
exp1,16600,4.220,2019-06-19,3
exp1,24000,4.380,2019-06-19,3
exp1,35400,4.549,2019-06-19,3
exp1,16600,4.220,2019-06-19,3
exp1,10600,4.025,2019-06-21,4
exp1,23880,4.378,2019-06-21,4
exp1,11200,4.049,2019-06-21,4
exp1,1800,3.255,2019-06-21,4
exp1,17420,4.241,2019-06-21,4
exp1,1884,3.275,2019-06-21,4
exp1,24200,4.384,2019-06-21,4
exp1,562,2.750,2019-06-21,4
exp1,24000,4.380,2019-06-21,4
exp1,10820,4.034,2019-06-21,4
exp1,5580,3.747,2019-06-21,4
exp1,19200,4.283,2019-06-21,4
exp1,9800,3.991,2019-06-21,4
exp1,1620,3.210,2019-06-21,4
exp1,11460,4.059,2019-06-21,4
exp1,9000,3.954,2019-06-21,4
exp1,1580,3.199,2019-06-21,4
exp1,1180,3.072,2019-06-21,4
exp1,1000,3.000,2019-06-21,4
exp1,1440,3.158,2019-06-21,4
exp1,33400,4.524,2019-06-21,4
exp1,1902,3.279,2019-06-21,4
exp1,18800,4.274,2019-06-21,4
exp1,18600,4.270,2019-06-21,4
exp1,1020,3.009,2019-06-21,4
exp1,18200,4.260,2019-06-21,4
exp1,25200,4.401,2019-06-21,4
exp1,16000,4.204,2019-06-21,4
exp1,1430,3.155,2019-06-21,4
exp1,1240,3.093,2019-06-21,4
exp1,2540,3.405,2019-06-21,4
exp1,2040,3.310,2019-06-21,4
exp1,15200,4.182,2019-06-21,4
exp1,13060,4.116,2019-06-21,4
exp1,5800,3.763,2019-06-21,4
glp1,20000,4.301,2019-09-18,1
glp1,32200,4.508,2019-09-18,1
glp1,24600,4.391,2019-09-18,1
glp1,14400,4.158,2019-09-18,1
glp1,22420,4.351,2019-09-18,1
glp1,24000,4.380,2019-09-18,1
glp1,1240,3.093,2019-09-18,1
glp1,41400,4.617,2019-09-18,1
glp1,9600,3.982,2019-09-18,1
glp1,27000,4.431,2019-09-18,1
glp1,3220,3.508,2019-09-18,1
