Condition,CFU,logCFU,Date
AA.2,1200,3.079181246,20201206
AA.2,160,2.204119983,20201206
AA.2,140,2.146128036,20201206
AA.2,540000,5.73239376,20200904
AA.2,300000,5.477121255,20200904
AA.2,2400,3.380211242,20200904
AA.2,2000,3.301029996,20200904
AA.2,1400,3.146128036,20200904
AA.2,1200,3.079181246,20200904
AA.2,1000,3,20200904
AA.2,600,2.77815125,20200904
AA.3,76000,4.880813592,20210926
AA.3,70000,4.84509804,20210926
AA.3,68000,4.832508913,20210926
AA.3,64000,4.806179974,20210926
AA.3,22000,4.342422681,20210926
AA.3,3600,3.556302501,20210926
AA.3,1600,3.204119983,20210926
AA.3,1200,3.079181246,20210926
AA.3,360,2.556302501,20210926
AA.3,300,2.477121255,20210926
AA.3,300,2.477121255,20210926
AA.3,48000,4.681241237,20201206
AA.3,3600,3.556302501,20201206
AA.3,2800,3.447158031,20201206
AA.3,540,2.73239376,20201206
AA.3,540,2.73239376,20201206
AA.3,520,2.716003344,20201206
AA.3,460,2.662757832,20201206
AA.3,220,2.342422681,20201206
AA.3,100,2,20201206
AA.3,260000,5.414973348,20200904
AA.3,180000,5.255272505,20200904
AA.3,160000,5.204119983,20200904
AA.3,48000,4.681241237,20200904
AA.3,22000,4.342422681,20200904
AA.3,3000,3.477121255,20200904
AA.3,400,2.602059991,20200904
A1.AA0,1100,3.041392685,20200520
A1.AA0,1160,3.064457989,20200520
A1.AA0,1340,3.127104798,20200520
A1.AA0,2140,3.330413773,20200520
A1.AA0,3420,3.534026106,20200520
A1.AA0,1840,3.264817823,20200603
A1.AA0,1920,3.283301229,20200603
A1.AA0,2200,3.342422681,20200603
A1.AA0,2700,3.431363764,20200603
A1.AA0,2820,3.450249108,20200603
A1.AA0,4440,3.64738297,20200603
A1.AA0,10940,4.039017322,20200603
A1.AA0,26600,4.424881637,20200603
A1.AA0,1020,3.008600172,20200608
A1.AA0,4800,3.681241237,20200608
A1.AA0,5800,3.763427994,20200608
A1.AA0,7680,3.88536122,20200608
A1.AA0,58480,4.767007364,20200608
A1.AA0,1880,3.274157849,20200713
A1.AA0,2280,3.357934847,20200713
A1.AA0,3020,3.480006943,20200713
A1.AA0,6160,3.789580712,20200713
A1.AA0,9200,3.963787827,20200713
A1.AA0,10800,4.033423755,20200713
A1.AA0,20400,4.309630167,20200713
A1.AA0,84200,4.925312091,20200713
A1.AA1,1420,3.152288344,20200520
A1.AA1,2940,3.46834733,20200520
A1.AA1,3300,3.51851394,20200520
A1.AA1,3360,3.526339277,20200520
A1.AA1,3400,3.531478917,20200520
A1.AA1,9200,3.963787827,20200603
A1.AA1,13000,4.113943352,20200603
A1.AA1,13800,4.139879086,20200603
A1.AA1,53600,4.72916479,20200603
A1.AA1,60200,4.779596491,20200603
A1.AA1,1760,3.245512668,20200608
A1.AA1,1920,3.283301229,20200608
A1.AA1,2580,3.411619706,20200608
A1.AA1,9200,3.963787827,20200608
A1.AA1,12600,4.100370545,20200608
A1.AA1,58200,4.764922985,20200608
A1.AA1,1500,3.176091259,20200713
A1.AA1,1500,3.176091259,20200713
A1.AA1,2100,3.322219295,20200713
A1.AA1,2840,3.45331834,20200713
A1.AA1,3760,3.575187845,20200713
A1.AA1,4380,3.641474111,20200713
A1.AA1,33260,4.521922245,20200713
A1.AA2,1320,3.120573931,20200520
A1.AA2,13400,4.127104798,20200520
A1.AA2,14200,4.152288344,20200520
A1.AA2,2640,3.421603927,20200603
A1.AA2,22400,4.350248018,20200603
A1.AA2,23800,4.376576957,20200603
A1.AA2,24000,4.380211242,20200603
A1.AA2,30400,4.482873584,20200603
A1.AA2,36800,4.565847819,20200603
A1.AA2,48400,4.684845362,20200603
A1.AA2,56800,4.754348336,20200603
A1.AA2,1040,3.017033339,20200608
A1.AA2,2340,3.369215857,20200608
A1.AA2,13000,4.113943352,20200608
A1.AA2,48960,4.689841409,20200608
A1.AA2,80020,4.903198547,20200608
A1.AA2,1040,3.017033339,20200713
A1.AA2,1320,3.120573931,20200713
A1.AA2,1880,3.274157849,20200713
A1.AA2,13000,4.113943352,20200713
A1.AA2,14400,4.158362492,20200713
A1.AA2,17200,4.235528447,20200713
A1.AA3,1420,3.152288344,20200520
A1.AA3,2960,3.471291711,20200520
A1.AA3,8200,3.913813852,20200520
A1.AA3,38800,4.588831726,20200520
A1.AA3,3600,3.556302501,20200603
A1.AA3,8600,3.934498451,20200603
A1.AA3,12400,4.093421685,20200603
A1.AA3,13600,4.133538908,20200603
A1.AA3,16600,4.220108088,20200603
A1.AA3,20200,4.305351369,20200603
A1.AA3,33800,4.5289167,20200603
A1.AA3,35400,4.549003262,20200603
A1.AA3,1560,3.193124598,20200608
A1.AA3,1580,3.198657087,20200608
A1.AA3,7000,3.84509804,20200608
A1.AA3,1980,3.29666519,20200713
A1.AA3,3140,3.496929648,20200713
A1.AA3,3740,3.572871602,20200713
A1.AA3,4360,3.639486489,20200713
A1.AA3,8600,3.934498451,20200713
A1.AA3,21800,4.338456494,20200713
A1.AA3,40800,4.610660163,20200713
I2.AA0,22220,4.346744055,20220323
I2.AA0,64000,4.806179974,20220323
I2.AA0,15800,4.198657087,20220323
I2.AA0,39200,4.593286067,20220323
I2.AA0,61000,4.785329835,20220323
I2.AA0,4040,3.606381365,20220323
I2.AA0,38000,4.579783597,20220323
I2.AA0,72200,4.858537198,20220323
I2.AA0,87200,4.940516485,20220323
I2.AA0,3640,3.561101384,20220323
I2.AA0,53000,4.72427587,20220323
I2.AA0,28200,4.450249108,20220323
I2.AA0,80000,4.903089987,20220406
I2.AA0,19000,4.278753601,20220406
I2.AA0,13800,4.139879086,20220406
I2.AA0,13400,4.127104798,20220406
I2.AA0,32400,4.51054501,20220406
I2.AA0,47000,4.672097858,20220406
I2.AA0,63200,4.800717078,20220406
I2.AA0,46600,4.668385917,20220406
I2.AA0,60800,4.783903579,20220406
I2.AA0,2720,3.434568904,20220406
I2.AA0,8240,3.915927212,20220406
I2.AA3,9200,3.963787827,20220323
I2.AA3,2560,3.408239965,20220323
I2.AA3,15400,4.187520721,20220323
I2.AA3,3480,3.541579244,20220323
I2.AA3,3280,3.515873844,20220323
I2.AA3,18800,4.274157849,20220323
I2.AA3,13600,4.133538908,20220323
I2.AA3,63600,4.803457116,20220323
I2.AA3,43000,4.633468456,20220323
I2.AA3,1100,3.041392685,20220323
I2.AA3,27200,4.434568904,20220323
I2.AA3,55600,4.745074792,20220406
I2.AA3,1360,3.133538908,20220406
I2.AA3,4060,3.608526034,20220406
I2.AA3,15800,4.198657087,20220406
I2.AA3,1340,3.127104798,20220406
I2.AA3,3860,3.586587305,20220406
I2.AA3,21000,4.322219295,20220406
N.AA0,1400,3.146128036,20200511
N.AA0,5000,3.698970004,20200511
N.AA0,39400,4.595496222,20200511
N.AA0,69600,4.84260924,20200511
N.AA0,218000,5.338456494,20200511
N.AA0,1140,3.056904851,20200603
N.AA0,1580,3.198657087,20200603
N.AA0,2200,3.342422681,20200603
N.AA0,15800,4.198657087,20200603
N.AA0,38600,4.586587305,20200603
N.AA0,42800,4.631443769,20200603
N.AA0,56200,4.749736316,20200603
N.AA0,1160,3.064457989,20200713
N.AA0,3840,3.584331224,20200713
N.AA0,6620,3.820857989,20200713
N.AA0,22200,4.346352974,20200713
N.AA0,27200,4.434568904,20200713
N.AA0,43400,4.63748973,20200713
N.AA1,3200,3.505149978,20200511
N.AA1,5840,3.766412847,20200511
N.AA1,6800,3.832508913,20200511
N.AA1,16600,4.220108088,20200511
N.AA1,19240,4.284205068,20200511
N.AA1,24200,4.383815366,20200511
N.AA1,30400,4.482873584,20200511
N.AA1,52800,4.722633923,20200511
N.AA1,2480,3.394451681,20200603
N.AA1,3620,3.558708571,20200603
N.AA1,9200,3.963787827,20200603
N.AA1,37600,4.575187845,20200603
N.AA1,40400,4.606381365,20200603
N.AA1,79800,4.902002891,20200603
N.AA1,92000,4.963787827,20200603
N.AA1,96200,4.983175072,20200603
N.AA1,6200,3.792391689,20200713
N.AA1,22200,4.346352974,20200713
N.AA1,32600,4.5132176,20200713
N.AA1,34400,4.536558443,20200713
N.AA2,2420,3.383815366,20200511
N.AA2,4120,3.614897216,20200511
N.AA2,4220,3.625312451,20200511
N.AA2,7400,3.86923172,20200511
N.AA2,23600,4.372912003,20200511
N.AA2,26400,4.421603927,20200511
N.AA2,32400,4.51054501,20200511
N.AA2,1000,3,20200520
N.AA2,1340,3.127104798,20200520
