Host	Date	MYb27	MYb45	MYb53	MYb56	MYb71	MYb120	MYb181	MYb238	Total
vhp1	10252019	32800.00	0.00	0.00	600.00	72800.00	0.00	0.00	1800.00	108000.00
vhp1	10252019	33600.00	0.00	0.00	200.00	84800.00	20.00	0.00	4200.00	122820.00
vhp1	10252019	3000.00	0.00	0.00	20.00	14600.00	0.00	20.00	600.00	18240.00
vhp1	10252019	3800.00	0.00	0.00	0.00	16600.00	0.00	20.00	1000.00	21420.00
vhp1	10252019	3400.00	0.00	0.00	0.00	20400.00	0.00	200.00	9000.00	33000.00
vhp1	10252019	1600.00	0.00	0.00	20.00	7200.00	0.00	0.00	100.00	8920.00
vhp1	10252019	11400.00	0.00	0.00	180.00	41600.00	0.00	0.00	20.00	53200.00
vhp1	10252019	20800.00	0.00	0.00	140.00	51200.00	20.00	0.00	2000.00	74160.00
daf2	10202021	0	0	8	40	400	0	0	14	246
daf2	10202021	0	0	200	180	320	0	0	0	2120
daf2	10202021	0	0	80	80	220	0	0	0	228
daf2	10202021	0	20	60	80	800	0	0	6	162
daf2	10202021	0	4	40	36	30	0	0	2	686
daf2	10202021	80	0	200	60	300	0	0	0	820
daf2	10202021	0	0	14	36	40	0	0	0	3666
daf2	10202021	0	4	20	36	40	0	0	0	760
daf2	10202021	0	8	26	24	60	0	0	8	0
daf2	10202021	0	2	18	30	50	0	0	0	1540
daf2	10202021	0	0	280	80	400	0	0	40	524
daf2	10202021	0	20	260	100	400	0	0	0	2360
daf2	10202021	0	40	100	20	200	0	0	0	760
daf2	10202021	0	0	40	38	26	0	0	0	1370
daf2	10202021	0	6	48	34	30	0	0	0	2006
daf2	10202021	0	0	60	60	100	0	0	20	2382
daf2	10202021	0	0	38	38	34	0	0	4	1940
daf2	10202021	0	20	200	20	2000	0	0	380	7260
daf2	10202021	20	0	100	60	100	0	0	0	1142
daf2	10202021	4	8	20	34	30	0	0	0	1920
daf2	10202021	0	4	40	36	20	0	0	0	1642
daf2	10202021	0	20	200	80	100	0	0	0	2304
daf2	10202021	0	20	300	200	500	0	0	20	1480
